== terrain_stationnaire — pentes sécantes 8000→16000 | 16000→32000 (graines [3, 4, 5])
rect_visites              1.18/ 1.20/ 1.17           1.12/ 1.12/ 1.15           0.03| 0.03
rect_alive_q2             1.05/ 1.04/ 1.05           1.03/ 1.03/ 1.04           0.01| 0.01
rect_alive_q3             1.08/ 1.07/ 1.07           1.05/ 1.05/ 1.06           0.01| 0.01
rect_alive_q4             1.09/ 1.08/ 1.08           1.05/ 1.06/ 1.06           0.01| 0.01
ancres_q3                 1.08/ 1.06/ 1.08           1.07/ 1.08/ 1.06           0.02| 0.02
ancres_q4                 1.08/ 1.06/ 1.09           1.08/ 1.09/ 1.07           0.03| 0.02
hist_survivants_q3        1.07/ 1.06/ 1.08           1.07/ 1.08/ 1.06           0.02| 0.01
hist_survivants_q4        1.08/ 1.06/ 1.08           1.07/ 1.08/ 1.07           0.02| 0.02
seeds_q3                  1.07/ 1.08/ 1.08           1.07/ 1.08/ 1.06           0.01| 0.02
seeds_q4                  1.06/ 1.08/ 1.07           1.06/ 1.07/ 1.05           0.01| 0.02
seeds_core_tues           1.02/ 1.05/ 1.04           1.02/ 1.04/ 1.01           0.03| 0.03
seeds_corde_tues          1.09/ 1.09/ 1.09           1.08/ 1.09/ 1.07           0.01| 0.02
W_sweep1_tests_coeur      1.08/ 1.09/ 1.08           1.06/ 1.07/ 1.06           0.01| 0.01
W_scan_q3                 1.08/ 1.08/ 1.08           1.07/ 1.08/ 1.06           0.01| 0.01
W_sweep2_tests_passe2     1.08/ 1.09/ 1.08           1.06/ 1.07/ 1.06           0.01| 0.01
tri_comparaisons          1.08/ 1.09/ 1.08           1.06/ 1.07/ 1.07           0.01| 0.01
P_factor_q3               1.06/ 1.03/ 1.08           1.11/ 1.12/ 1.06           0.05| 0.06
P_factor_q4               1.07/ 1.03/ 1.09           1.11/ 1.13/ 1.06           0.06| 0.07
sweep_seeds_p2            1.06/ 1.06/ 1.06           1.04/ 1.05/ 1.05           0.00| 0.00
sweep_racines             1.08/ 1.08/ 1.07           1.05/ 1.06/ 1.06           0.01| 0.01
sweep_hors_corde          1.09/ 1.09/ 1.08           1.06/ 1.07/ 1.07           0.01| 0.01
P_role                    1.08/ 1.08/ 1.07           1.05/ 1.06/ 1.06           0.01| 0.01
candidats_q3              1.06/ 1.06/ 1.06           1.05/ 1.05/ 1.05           0.01| 0.00
candidats_q4              1.08/ 1.07/ 1.08           1.06/ 1.06/ 1.06           0.01| 0.00
tues_profondeur_q4        1.08/ 1.08/ 1.07           1.05/ 1.07/ 1.07           0.01| 0.01
emis                      1.07/ 1.06/ 1.07           1.05/ 1.05/ 1.05           0.01| 0.00
boules_uniques            1.07/ 1.06/ 1.07           1.05/ 1.05/ 1.05           0.01| 0.00
evenements                1.07/ 1.06/ 1.07           1.05/ 1.05/ 1.05           0.01| 0.00
facettes                  1.07/ 1.06/ 1.07           1.05/ 1.05/ 1.05           0.01| 0.00
float_repli               1.07/ 1.07/ 1.06           1.05/ 1.05/ 1.05           0.01| 0.00

== eight_clusters — pentes sécantes 8000→16000 | 16000→32000 (graines [3, 4, 5])
compteur                 pas1 (par graine)          pas2 (par graine)          étendues p1|p2
rect_visites              1.31/ 1.28/ 1.30           1.23/ 1.24/ 1.22           0.02| 0.02
rect_alive_q2             1.08/ 1.07/ 1.08           1.05/ 1.06/ 1.05           0.02| 0.01
rect_alive_q3             1.13/ 1.10/ 1.11           1.08/ 1.08/ 1.08           0.02| 0.00
rect_alive_q4             1.13/ 1.10/ 1.11           1.09/ 1.09/ 1.09           0.02| 0.00
ancres_q3                 1.54/ 1.57/ 1.55           1.53/ 1.55/ 1.55           0.02| 0.02
ancres_q4                 1.49/ 1.55/ 1.50           1.67/ 1.67/ 1.69           0.06| 0.02
hist_survivants_q3        1.36/ 1.37/ 1.36           1.23/ 1.24/ 1.24           0.01| 0.01
hist_survivants_q4        1.32/ 1.35/ 1.32           1.34/ 1.36/ 1.35           0.04| 0.01
seeds_q3                  1.14/ 1.14/ 1.13           1.02/ 1.04/ 1.05           0.02| 0.02
seeds_q4                  1.13/ 1.12/ 1.13           1.03/ 1.04/ 1.04           0.02| 0.01
seeds_core_tues           1.05/ 1.02/ 1.04           0.94/ 0.96/ 0.96           0.03| 0.02
seeds_corde_tues          1.17/ 1.17/ 1.16           1.07/ 1.07/ 1.08           0.02| 0.01
W_sweep1_tests_coeur      1.45/ 1.46/ 1.47           1.39/ 1.36/ 1.38           0.01| 0.03
W_scan_q3                 1.24/ 1.24/ 1.24           1.14/ 1.14/ 1.15           0.01| 0.01
W_sweep2_tests_passe2     1.54/ 1.56/ 1.57           1.48/ 1.44/ 1.46           0.03| 0.04
tri_comparaisons          1.48/ 1.51/ 1.52           1.42/ 1.39/ 1.40           0.04| 0.03
P_factor_q3               1.69/ 1.75/ 1.75           1.50/ 1.51/ 1.52           0.06| 0.02
P_factor_q4               1.60/ 1.70/ 1.66           1.62/ 1.61/ 1.65           0.10| 0.04
sweep_seeds_p2            1.09/ 1.08/ 1.09           1.07/ 1.07/ 1.07           0.01| 0.00
sweep_racines             1.34/ 1.36/ 1.37           1.30/ 1.27/ 1.28           0.03| 0.03
sweep_hors_corde          1.59/ 1.60/ 1.62           1.51/ 1.47/ 1.50           0.03| 0.04
P_role                    1.34/ 1.36/ 1.37           1.30/ 1.27/ 1.28           0.03| 0.03
candidats_q3              1.10/ 1.09/ 1.10           1.08/ 1.08/ 1.08           0.01| 0.00
candidats_q4              1.13/ 1.12/ 1.12           1.11/ 1.10/ 1.10           0.01| 0.00
tues_profondeur_q4        1.11/ 1.08/ 1.13           1.04/ 1.05/ 1.05           0.05| 0.01
emis                      1.12/ 1.11/ 1.12           1.10/ 1.10/ 1.09           0.01| 0.01
boules_uniques            1.12/ 1.11/ 1.12           1.10/ 1.10/ 1.09           0.01| 0.01
evenements                1.11/ 1.10/ 1.11           1.09/ 1.09/ 1.09           0.01| 0.00
facettes                  1.11/ 1.10/ 1.11           1.09/ 1.09/ 1.09           0.01| 0.00
float_repli               1.17/ 1.15/ 1.18           1.11/ 1.09/ 1.11           0.03| 0.02

