CERTBOX 1078227 6 78558 72903 27412 78741 73018 27631 76002 74136 26574 76174 74280 26752
CERTPAIR 1078227 3 50271 77361 73397 26212 44683 76076 74205 27035 1 2
CERTPAIR 1078227 3 50292 77366 73378 26208 44600 76063 74196 27108 1 2
CERTPAIR 1078227 3 50131 77324 73361 26201 44648 76070 74180 27195 1 2
CERTPAIR 1078227 3 49715 77210 73395 26199 44607 76064 74169 27236 2 3
CERTPAIR 1078227 4 50271 77361 73397 26212 44607 76064 74169 27236 2 3
CERTPAIR 1078227 4 50292 77366 73378 26208 44786 76096 74189 27283 2 3
CERTPAIR 1078227 4 44415 76040 74100 27057 50466 77412 73786 26176 2 1
CERTEND 1078227
CERTBOX 1078244 6 78582 72904 27675 78876 72973 27849 76002 74136 26574 76174 74280 26752
CERTPAIR 1078244 3 50271 77361 73397 26212 44520 76053 74144 27102 1 2
CERTPAIR 1078244 3 50292 77366 73378 26208 44465 76045 74162 27146 1 2
CERTPAIR 1078244 3 50131 77324 73361 26201 44786 76096 74189 27283 1 2
CERTPAIR 1078244 3 49715 77210 73395 26199 44648 76070 74180 27195 1 2
CERTPAIR 1078244 4 50271 77361 73397 26212 44587 76061 74132 27319 2 3
CERTPAIR 1078244 4 50292 77366 73378 26208 44607 76064 74169 27236 1 2
CERTPAIR 1078244 4 50131 77324 73361 26201 44648 76070 74180 27195 1 2
CERTEND 1078244
CERTBOX 1275183 6 70854 74511 26722 71152 74770 26986 75670 74138 27650 76059 74407 27867
CERTPAIR 1275183 3 34569 73472 74406 25957 41364 75432 74214 28035 1 1
CERTPAIR 1275183 3 34471 73438 74413 25952 41324 75423 74296 28123 1 1
CERTPAIR 1275183 3 34658 73503 74397 25960 41370 75435 74250 28090 1 1
CERTPAIR 1275183 3 34705 73516 74375 25959 41406 75443 74187 28091 1 1
CERTPAIR 1275183 4 34569 73472 74406 25957 41364 75432 74214 28035 1 2
CERTPAIR 1275183 4 34471 73438 74413 25952 41324 75423 74296 28123 1 2
CERTPAIR 1275183 4 34658 73503 74397 25960 41370 75435 74250 28090 1 2
CERTEND 1275183
CERTBOX 1275191 6 70831 74217 27019 71097 74476 27204 75670 74138 27650 76059 74407 27867
CERTPAIR 1275191 3 33957 73316 74095 25957 41364 75432 74214 28035 1 2
CERTPAIR 1275191 3 33951 73315 74058 25951 41324 75423 74296 28123 1 2
CERTPAIR 1275191 3 33575 73204 74125 25944 41370 75435 74250 28090 1 2
CERTPAIR 1275191 3 33670 73237 74098 25945 41406 75443 74187 28091 1 2
CERTPAIR 1275191 4 33957 73316 74095 25957 41324 75423 74296 28123 1 2
CERTPAIR 1275191 4 33951 73315 74058 25951 41370 75435 74250 28090 1 2
CERTPAIR 1275191 4 33575 73204 74125 25944 41450 75453 74297 28123 1 2
CERTEND 1275191
CERTBOX 1790368 6 56148 88704 27245 57021 89696 28140 63609 115511 27748 65563 116570 29144
CERTPAIR 1790368 3 4130 52476 93229 24635 17890 68013 97784 28509 1 1
CERTPAIR 1790368 3 3987 51826 93456 25502 14114 66439 105806 23568 1 2
CERTPAIR 1790368 3 4096 52315 93214 24806 18957 68723 98255 28007 1 1
CERTPAIR 1790368 3 4143 52515 93011 24831 19544 69045 98750 28523 1 1
CERTPAIR 1790368 4 4130 52476 93229 24635 17890 68013 97784 28509 1 1
CERTPAIR 1790368 4 3987 51826 93456 25502 18957 68723 98255 28007 3 2
CERTPAIR 1790368 4 4168 52671 92430 26625 19544 69045 98750 28523 2 1
CERTEND 1790368
CERTBOX 1790384 6 58291 88167 26677 59488 90044 28504 61543 116146 26268 63025 117829 27489
CERTPAIR 1790384 3 4130 52476 93229 24635 14114 66439 105806 23568 1 2
CERTPAIR 1790384 3 4096 52315 93214 24806 14043 66400 106091 23528 1 2
CERTPAIR 1790384 3 4143 52515 93011 24831 14160 66463 106171 23522 1 2
CERTPAIR 1790384 3 4115 52382 93171 24628 17890 68013 97784 28509 1 1
CERTPAIR 1790384 4 4130 52476 93229 24635 17890 68013 97784 28509 1 1
CERTPAIR 1790384 4 3987 51826 93456 25502 18957 68723 98255 28007 1 1
CERTPAIR 1790384 4 5290 54900 91056 26901 19544 69045 98750 28523 2 1
CERTEND 1790384
CERTBOX 2938045 6 76833 86345 26916 76951 86943 27299 71309 90768 27496 71765 91307 27829
CERTPAIR 2938045 3 28961 71563 90003 27823 48555 76943 87587 27195 1 1
CERTPAIR 2938045 3 29074 71588 90104 27823 48424 76924 87478 27203 1 2
CERTPAIR 2938045 3 28958 71562 90072 27823 48535 76941 87513 27201 1 2
CERTPAIR 2938045 3 28720 71503 90090 27681 48375 76917 87422 27206 1 2
CERTPAIR 2938045 4 28961 71563 90003 27823 48719 76968 87521 27102 1 2
CERTPAIR 2938045 4 29074 71588 90104 27823 48746 76972 87539 27002 1 1
CERTPAIR 2938045 4 28720 71503 90090 27681 48555 76943 87587 27195 1 1
CERTEND 2938045
CERTBOX 2938047 6 76832 86436 26525 76968 86946 26909 71527 90922 27922 71818 91203 28160
CERTPAIR 2938047 3 36551 74078 88730 25419 48555 76943 87587 27195 1 1
CERTPAIR 2938047 3 36701 74126 88776 25416 48424 76924 87478 27203 1 1
CERTPAIR 2938047 3 36472 74053 88709 25419 48535 76941 87513 27201 1 1
CERTPAIR 2938047 3 36222 73993 88650 25424 48375 76917 87422 27206 1 1
CERTPAIR 2938047 4 36551 74078 88730 25419 48555 76943 87587 27195 1 2
CERTPAIR 2938047 4 36701 74126 88776 25416 48424 76924 87478 27203 1 2
CERTPAIR 2938047 4 36472 74053 88709 25419 48535 76941 87513 27201 1 2
CERTEND 2938047
CERTBOX 2938173 6 76883 86956 26744 77023 87259 27321 70025 89397 27500 70493 89773 27821
CERTPAIR 2938173 3 34723 73521 88220 25446 28961 71563 90003 27823 1 1
CERTPAIR 2938173 3 34791 73546 88241 25445 28958 71562 90072 27823 1 1
CERTPAIR 2938173 3 34644 73498 88197 25447 29074 71588 90104 27823 1 1
CERTPAIR 2938173 3 34896 73578 88280 25442 28729 71505 90046 27823 1 1
CERTPAIR 2938173 4 34723 73521 88220 25446 28961 71563 90003 27823 1 1
CERTPAIR 2938173 4 34791 73546 88241 25445 28958 71562 90072 27823 1 2
CERTPAIR 2938173 4 34644 73498 88197 25447 29074 71588 90104 27823 1 2
CERTEND 2938173
