s2_ordinal	s2_mask	post_core_mask	F	proved_mask	complete	wall_ms	cpu_ms	cells	outside_cells	disk_tests	center_membership_tests	node_tests	corner_tests	corner_evals	lb_tests	credited_nodes	credited_sites	excluded_nodes	leaf_ambiguous	splits	frontier_copies	point_tests	fixed_centers	fixed_refutations	gate_nodes	gate_sites	exclude_gate_nodes	exclude_gate_sites	gate_ms
24002	6	6	4	0	1	0.051	0.051	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
24390	2	2	5	0	1	0.019	0.019	6	3	6	4	0	0	0	0	0	0	0	0	0	5	1288	1	1	0	0	0	0	0.000
24436	2	0	7	2	1	0.149	0.148	33	17	33	23	226	226	7232	216	10	20	82	32	102	88	4684	11	0	10	20	1	3	0.005
24504	4	4	8	0	1	0.100	0.100	25	15	25	28	111	111	3552	108	3	3	29	49	30	149	4382	8	1	3	3	1	1	0.001
24557	6	6	3	0	1	0.036	0.036	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
24601	6	6	4	0	1	0.035	0.035	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
24635	6	6	3	0	1	0.035	0.036	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
24728	6	6	3	0	1	0.035	0.035	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
24778	6	6	3	0	1	0.035	0.035	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
24913	6	6	13	0	1	0.108	0.108	8	3	15	16	117	117	3744	115	2	2	25	32	58	69	5001	4	2	2	2	0	0	0.000
24971	6	6	5	0	1	0.388	0.389	27	6	33	48	163	163	5216	150	13	13	46	70	34	175	24405	20	1	13	13	0	0	0.003
25515	2	0	8	2	1	0.262	0.262	29	14	29	18	556	556	17792	538	18	44	146	60	332	436	4150	10	0	18	44	2	2	0.010
25548	6	6	5	0	1	0.060	0.060	7	3	13	12	45	45	1440	44	1	1	17	5	22	10	3255	3	2	1	1	0	0	0.000
25669	2	0	7	2	1	0.106	0.106	29	14	29	16	234	234	7488	219	15	20	76	40	103	80	670	10	0	15	20	1	25	0.009
25851	6	6	78	0	1	0.173	0.173	17	9	24	28	395	395	12640	393	2	2	102	175	116	609	2902	7	1	2	2	1	1	0.001
25868	6	6	101	0	1	0.139	0.098	8	3	15	16	128	128	4096	127	1	1	20	22	85	135	3095	4	2	1	1	0	0	0.000
25941	6	6	2	0	1	0.035	0.034	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
26034	6	6	2	0	1	0.035	0.035	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
26044	2	2	11	2	1	0.709	0.709	45	16	45	43	1277	1277	40864	1241	36	46	477	236	528	1120	18303	24	0	36	46	17	33	0.017
26296	4	0	7	4	1	0.165	0.165	29	15	29	15	210	210	6720	199	11	15	79	19	101	68	6291	9	0	11	15	1	27	0.008
26372	4	0	11	4	1	0.169	0.170	21	12	21	10	368	368	11776	360	8	14	104	30	226	20	2752	4	0	8	14	1	5	0.004
26531	6	6	4	0	1	0.035	0.035	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
26679	2	0	21	2	1	0.386	0.385	33	15	33	25	673	673	21536	648	25	34	178	98	372	632	10838	13	0	25	34	5	15	0.011
26839	6	6	4	0	1	0.036	0.035	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
26965	6	6	2	0	1	0.035	0.035	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
27004	4	0	30	4	1	0.498	0.498	37	14	37	40	900	900	28800	876	24	31	316	147	413	684	11978	18	0	24	31	12	40	0.014
27041	6	6	8	0	1	0.266	0.266	40	5	46	60	470	470	15040	443	27	28	116	223	104	442	7253	31	0	27	28	1	1	0.007
