s2_ordinal	s2_mask	post_core_mask	F	proved_mask	complete	wall_ms	cpu_ms	cells	outside_cells	disk_tests	center_membership_tests	node_tests	corner_tests	corner_evals	lb_tests	credited_nodes	credited_sites	excluded_nodes	leaf_ambiguous	splits	frontier_copies	point_tests	fixed_centers	fixed_refutations	gate_nodes	gate_sites	exclude_gate_nodes	exclude_gate_sites	gate_ms
12050	4	0	19	4	1	0.409	0.360	29	12	29	28	648	648	20736	629	19	24	191	61	377	576	8822	12	0	19	24	4	4	0.006
12069	6	0	29	6	1	0.658	0.657	37	14	66	63	961	961	30752	928	33	35	283	128	517	812	24825	28	0	33	35	10	35	0.015
12181	2	0	43	2	1	0.296	0.296	25	13	25	15	470	470	15040	449	21	22	97	35	317	380	7911	7	0	21	22	1	6	0.006
12193	2	0	37	2	1	0.269	0.269	25	13	25	15	471	471	15072	450	21	29	100	36	314	380	7965	7	0	21	29	1	6	0.008
12198	2	0	51	2	1	0.254	0.255	25	13	25	15	439	439	14048	419	20	29	90	33	296	388	7976	7	0	20	29	1	6	0.008
12261	6	6	6	0	1	0.346	0.345	18	5	26	30	536	536	17152	525	11	12	223	132	170	415	10783	13	1	11	12	10	11	0.005
12294	4	4	45	0	1	0.292	0.292	36	18	36	52	381	381	12192	368	13	13	142	116	110	384	12322	16	0	13	13	4	18	0.006
12300	4	4	42	4	1	2.055	0.496	37	14	37	40	905	905	28960	876	29	46	308	162	406	660	12713	18	0	29	46	8	33	0.017
12445	4	0	12	4	1	0.122	0.123	21	12	21	10	299	299	9568	292	7	12	86	12	194	20	424	4	0	7	12	5	14	0.005
12458	2	2	7	0	1	0.258	0.259	32	10	32	27	635	635	20320	614	21	24	202	159	253	308	1723	17	0	21	24	8	18	0.009
12519	6	2	9	6	1	0.274	0.274	33	12	62	42	584	584	18688	550	34	35	184	135	231	312	2327	26	0	34	35	2	30	0.013
12633	4	4	19	0	1	0.420	0.421	35	11	35	52	836	836	26752	809	27	35	292	161	356	611	8911	19	0	27	35	6	35	0.014
12837	6	6	4	0	1	0.036	0.036	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
13054	4	0	38	4	1	0.294	0.295	25	12	25	18	751	751	24032	735	16	23	161	223	351	352	2132	8	0	16	23	3	3	0.006
13112	4	4	6	0	1	0.182	0.182	35	10	35	35	236	236	7552	209	27	32	58	82	69	140	6699	21	0	27	32	0	0	0.007
13113	4	4	7	0	1	0.142	0.142	32	13	32	29	206	206	6592	188	18	23	54	62	72	124	4500	15	0	18	23	0	0	0.005
13264	4	4	7	0	1	0.151	0.150	27	7	27	28	211	211	6752	197	14	17	67	35	95	92	5368	16	0	14	17	0	0	0.004
13348	6	6	6	0	1	0.099	0.099	21	12	28	32	119	119	3808	117	2	2	41	36	40	98	3826	8	1	2	2	1	2	0.001
13405	6	0	14	6	1	0.278	0.278	33	13	54	45	510	510	16320	489	21	25	140	138	211	344	4795	17	0	21	25	3	3	0.006
13417	6	6	7	0	1	0.139	0.139	19	5	28	45	180	180	5760	170	10	10	53	64	53	165	5545	15	1	10	10	0	0	0.002
13535	4	0	7	4	1	0.158	0.158	25	12	25	14	348	348	11136	333	15	15	113	41	179	80	2168	8	0	15	15	0	0	0.004
13688	2	0	7	2	1	0.199	0.198	29	13	29	21	354	354	11328	336	18	22	117	49	170	108	5111	11	0	18	22	3	9	0.007
14023	4	0	38	4	1	0.246	0.246	29	14	29	20	434	434	13888	414	20	25	117	89	208	320	6490	10	0	20	25	4	11	0.008
14028	2	2	44	0	1	0.367	0.367	33	12	33	29	584	584	18688	556	28	31	154	214	188	567	11170	17	0	28	31	2	2	0.008
14438	6	2	6	4	1	3.259	0.780	58	14	75	73	693	693	22176	643	50	50	243	158	242	432	37420	46	0	50	50	6	9	0.014
14553	6	2	12	6	1	0.806	0.806	41	12	78	78	981	981	31392	940	41	46	337	201	402	780	32564	40	0	41	46	13	55	0.021
14830	6	6	2	0	1	0.035	0.035	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
14881	2	2	6	0	1	0.178	0.178	20	8	20	32	177	177	5664	165	12	12	63	42	60	123	8506	10	0	12	12	0	0	0.003
14884	4	0	8	4	1	0.400	0.400	41	18	41	34	574	574	18368	549	25	27	214	104	231	228	13277	16	0	25	27	4	10	0.008
15038	4	4	18	0	1	0.115	0.115	26	13	26	38	269	269	8608	263	6	6	108	81	74	243	1429	11	0	6	6	1	1	0.002
15096	4	0	17	4	1	0.222	0.221	29	12	29	26	551	551	17632	532	19	21	138	77	317	364	1514	12	0	19	21	7	8	0.007
15412	6	6	3	0	1	0.035	0.035	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
15450	6	6	10	0	1	0.594	0.594	30	5	46	75	383	383	12256	359	24	24	118	174	67	384	33651	29	0	24	24	2	2	0.006
15607	4	4	13	4	1	0.357	0.357	41	14	41	50	672	672	21504	642	30	34	215	164	263	352	8709	22	0	30	34	3	3	0.009
15868	2	2	17	0	1	0.623	0.624	45	11	45	41	900	900	28800	872	28	43	294	202	376	879	21925	29	0	28	43	15	22	0.014
15916	4	4	7	0	1	0.359	0.358	37	13	37	36	456	456	14592	439	17	18	154	99	186	182	14820	20	0	17	18	9	11	0.007
15926	6	2	13	6	1	0.904	0.891	45	12	86	83	1209	1209	38688	1160	49	59	417	254	489	1064	34563	46	0	49	59	11	39	0.021
16297	6	2	7	4	1	0.636	0.636	49	16	56	82	675	675	21600	643	32	37	163	187	293	436	29461	24	1	32	37	5	22	0.013
16326	2	2	6	0	1	0.137	0.136	18	11	18	20	90	90	2880	89	1	3	28	30	31	76	6175	5	0	1	3	0	0	0.001
16551	4	0	17	4	1	0.409	0.410	33	12	33	32	632	632	20224	613	19	22	201	100	312	540	13598	16	0	19	22	5	10	0.007
16589	2	2	7	2	1	0.503	0.504	37	15	37	34	808	808	25856	776	32	38	306	150	320	556	14578	17	0	32	38	11	18	0.012
16672	6	6	4	0	1	0.036	0.036	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
16698	6	6	5	0	1	0.195	0.196	18	5	24	28	136	136	4352	128	8	8	40	46	42	88	10885	12	1	8	8	0	0	0.002
17012	6	6	8	0	1	0.440	0.440	33	5	41	47	281	281	8992	263	18	19	89	109	65	270	25506	28	1	18	19	3	3	0.005
17121	6	6	5	0	1	0.158	0.157	21	12	27	28	70	70	2240	65	5	5	17	30	18	90	9724	8	2	5	5	1	1	0.001
17273	6	0	28	6	1	0.392	0.392	25	12	50	27	471	471	15072	456	15	22	83	71	302	316	16565	15	0	15	22	0	0	0.005
17481	6	6	62	6	1	0.975	0.975	53	15	102	105	2307	2307	73824	2232	75	169	795	508	929	1944	10009	63	0	75	169	25	90	0.053
