S 10906 17658 6978 1 38186459 0 0 5509 14091 21319
S 24998 58299 5460 1 19430601 0 0 6016 12314 26888
S 28627 54232 5796 1 19819971 0 0 6016 12314 26888
S 32920 45391 6183 0 20227995 0 0 6016 12314 26888
S 15905 30634 4555 0 19872186 0 0 6016 12314 26888
S 25010 36832 5816 0 20487710 0 0 6016 12314 26888
S 15712 19410 3435 0 19195014 0 0 6016 12314 26888
S 24772 41360 6325 1 21569972 0 0 6016 12314 26888
S 20994 21249 5760 0 21904971 0 0 6016 12314 26888
S 20994 25017 6219 0 22524174 0 0 6016 12314 26888
S 20476 31935 2252 1 46905174 0 0 1686 7197 25566
S 16903 44649 2572 1 47372993 0 0 1686 7197 25566
S 12225 52073 4871 1 20546197 0 0 6016 12314 26888
S 113995 121272 1695 0 18163482 0 151 3933 12036 25566
S 1755 37092 6720 1 37011373 0 0 5509 14091 21319
S 53985 58442 1076 1 8114235 0 0 1224 5615 26888
S 28630 64907 1185 1 8884574 0 0 1224 5615 26888
S 10549 96766 1203 0 5064461 0 0 6016 12314 26888
S 41350 45393 5849 1 19540954 0 0 6016 12314 26888
S 32675 41351 5560 1 19948062 0 0 6016 12314 26888
S 28625 45642 5810 0 20022801 0 0 6016 12314 26888
S 28631 37089 6505 1 21787237 0 0 6016 12314 26888
S 26928 41104 6321 0 21037702 0 0 6016 12314 26888
S 28627 39234 6800 1 22508859 0 0 6016 12314 26888
S 10414 32932 5525 0 21964497 0 0 6016 12314 26888
S 12335 71250 1187 1 9488069 0 0 1224 5615 26888
S 3600 21259 6399 0 36517844 0 0 5509 14091 21319
S 22260 38211 1458 1 43123206 0 0 1857 12036 25566
S 393 2407 1894 1 163531907 0 0 134 2147 25566
S 10601 51832 5552 1 20359561 0 0 6016 12314 26888
S 1239 25008 3816 0 20949816 0 0 6016 12314 26888
S 41345 71407 1027 1 6177506 0 0 6016 12314 26888
S 17661 60455 6636 1 21180942 0 0 6016 12314 26888
S 4920 67164 5325 1 20505113 0 0 6016 12314 26888
S 19411 24769 3952 0 19243921 0 0 6016 12314 26888
S 15712 34977 4201 1 19590533 0 0 6016 12314 26888
S 8778 10420 2641 0 18907774 0 0 6016 12314 26888
S 22875 54243 6809 1 22048650 0 0 6016 12314 26888
S 25019 32672 6484 1 22144706 0 0 6016 12314 26888
S 19188 58560 7416 1 23548601 0 0 6016 12314 26888
S 8437 10452 1497 0 47803998 0 0 481 2328 26888
S 49833 80141 1014 1 5687149 0 0 6016 12314 26888
S 24606 38950 1033 1 18162653 0 22 2371 6631 26888
S 16841 42488 1236 1 41198021 0 0 1857 12036 25566
S 9807 29906 1043 0 41504690 0 0 1857 12036 25566
S 15112 46776 1238 1 41246137 0 0 1857 12036 25566
S 47537 62756 1243 1 8647186 0 0 1224 5615 26888
S 19416 47537 5678 1 20327174 0 0 6016 12314 26888
S 17437 45638 5007 1 19993284 0 0 6016 12314 26888
S 17667 32674 5784 0 21128074 0 0 6016 12314 26888
S 28624 32929 6209 0 21517937 0 0 6016 12314 26888
S 17674 26679 5996 0 22116315 0 0 6016 12314 26888
S 20999 41360 6300 0 21779726 0 0 6016 12314 26888
S 37095 45389 7160 1 22482725 0 0 6016 12314 26888
S 17437 26937 6284 0 22975102 0 0 6016 12314 26888
S 9669 26148 2967 1 56738386 0 0 1857 12036 25566
S 1754 39216 7272 1 39210914 0 0 5509 14091 21319
S 5429 28866 7454 1 40186145 0 0 5509 14091 21319
S 10906 25010 6827 1 36977510 0 0 5509 14091 21319
S 6149 46785 1494 1 45105854 0 0 1857 12036 25566
