s2_ordinal	s2_mask	post_core_mask	F	proved_mask	complete	wall_ms	cpu_ms	cells	outside_cells	node_tests	corner_tests	corner_evals	lb_tests	credited_nodes	credited_sites	excluded_nodes	leaf_ambiguous	splits	frontier_copies	point_tests	fixed_centers	fixed_refutations	gate_nodes	gate_sites	exclude_gate_nodes	exclude_gate_sites	gate_ms
32802	4	0	150	4	1	0.183	0.183	25	12	433	433	13856	411	22	107	81	25	305	288	1851	8	0	22	107	3	25	0.025
32830	6	0	149	6	1	3.427	0.520	41	16	1110	1110	35520	1076	34	97	321	136	619	1348	5995	27	0	34	97	10	55	0.030
33213	6	4	30	6	1	0.723	0.723	41	18	696	696	22272	648	48	67	197	178	273	556	33729	32	0	48	67	6	35	0.021
33531	6	6	12	0	1	0.173	0.173	26	9	367	367	11744	346	21	23	92	139	115	282	2327	18	0	21	23	2	2	0.006
33798	2	0	24	2	1	0.359	0.360	29	14	715	715	22880	677	38	56	232	64	381	456	7548	10	0	38	56	8	29	0.018
33875	6	6	19	0	1	1.343	1.343	70	15	2291	2291	73312	2211	80	121	848	466	897	3409	40538	61	0	80	121	25	50	0.037
33976	4	0	138	4	1	0.456	0.456	37	15	878	878	28096	845	33	83	269	105	471	928	10787	17	0	33	83	5	11	0.020
34095	4	0	131	4	1	0.222	0.222	21	10	515	515	16480	493	22	88	122	15	356	20	340	4	0	22	88	6	41	0.025
34842	2	2	14	0	1	0.189	0.189	17	9	351	351	11232	345	6	9	106	128	111	424	3919	6	0	6	9	4	4	0.003
35123	2	0	142	2	1	0.559	0.559	37	16	983	983	31456	938	45	177	346	78	514	1108	11266	16	0	45	177	13	62	0.048
35128	2	0	147	2	1	0.878	0.567	37	16	979	979	31328	933	46	197	338	79	516	1100	11273	16	0	46	197	11	40	0.048
35130	6	0	146	6	1	1.538	0.734	33	12	999	999	31968	957	42	244	331	103	523	808	20575	29	0	42	244	12	41	0.312
35132	6	6	141	6	1	6.037	1.113	49	16	1244	1244	39808	1185	59	356	426	167	592	1892	38704	53	0	59	356	12	51	0.082
35135	6	6	138	6	1	2.066	1.064	49	16	1350	1350	43200	1290	60	362	433	245	612	1896	39266	53	0	60	362	15	67	0.085
35690	2	2	12	0	1	0.083	0.083	11	6	86	86	2752	80	6	8	30	11	39	31	3692	3	1	6	8	0	0	0.002
35887	6	6	9	0	1	0.035	0.035	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
